ADM1_PCODE,ADM1_EN,Planted_AreaTotal,Spring_Area,Autumn_Area,Winter_Area,Spring_Prod,Autumn_Prod,Winter_Prod
VN801,Long An,516.2,225.2,289.8,1.3,1526.6,1549,5.4
VN807,Tien Giang,129.4,48.2,81.2,,336.3,454.7,
VN811,Ben Tre,22.2,1.1,16,5.2,5.7,83.1,20.9
VN817,Tra Vinh,203.4,62.1,140.2,1.1,378.7,726.6,5.1
VN809,Vinh Long,112.7,39.8,72.9,,274,402.2,
VN803,Dong Thap,498.3,190.2,308.3,,1390.1,1935.2,
VN805,An Giang,616.2,227.7,385,3.5,1719.4,2334.6,13.7
VN813,Kien Giang,712.9,281,363.3,68.5,2159.6,2035.8,366.5
VN815,Can Tho ,216.2,75,141.2,,559.8,802.4,
VN816,Hau Giang,177.8,75.5,102.3,,585.4,601.3,
VN819,Soc Trang,330.4,174.5,145,10.9,1187.2,834.2,55.8
VN821,Bac Lieu,191.6,43.3,101.8,46.5,335.7,631.8,271.5
VN823,Ca Mau,111.3,35.2,35.2,40.9,218.7,174.5,175.2
